"Continent ID","Continent","Country ID","Country","ISO 3","Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
"eu","Europe","euhrv","Croatia","hrv",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",753598930
"eu","Europe","euhun","Hungary","hun",17,"Transportation",1787,"Vehicles and their parts",178703,"Cars",11488671371
"eu","Europe","euirl","Ireland","irl",6,"Chemical Products",630,"Pharmaceutical products",63002,"Blood, antisera, vaccines, toxins and cultures",33017868453
"eu","Europe","euisl","Iceland","isl",15,"Metals",1576,"Aluminium and articles thereof",157601,"Raw Aluminium",1738251242
"eu","Europe","euita","Italy","ita",6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",26735640206
"eu","Europe","eultu","Lithuania","ltu",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",1850637821
"eu","Europe","eulux","Luxembourg","lux",15,"Metals",1572,"Iron and steel",157216,"Iron Blocks",820621833
"eu","Europe","eulva","Latvia","lva",16,"Machines",1685,"Electrical machinery and equipment",168525,"Broadcasting Equipment",793729290
"eu","Europe","eumda","Moldova","mda",16,"Machines",1685,"Electrical machinery and equipment",168544,"Insulated Wire",444867442
"eu","Europe","eumkd","North Macedonia","mkd",6,"Chemical Products",638,"Chemical products n.e.s.",63815,"Reaction and Catalytic Products",1400271689
"eu","Europe","eumlt","Malta","mlt",16,"Machines",1685,"Electrical machinery and equipment",168542,"Integrated Circuits",679117180
"eu","Europe","eumne","Montenegro","mne",15,"Metals",1576,"Aluminium and articles thereof",157601,"Raw Aluminium",65200565
"eu","Europe","eunld","Netherlands","nld",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",29673478704
"eu","Europe","eunor","Norway","nor",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",22560381145
"eu","Europe","eupol","Poland","pol",17,"Transportation",1787,"Vehicles and their parts",178708,"Vehicle Parts",12439347065
"eu","Europe","euprt","Portugal","prt",17,"Transportation",1787,"Vehicles and their parts",178703,"Cars",3771913852
"eu","Europe","eurou","Romania","rou",17,"Transportation",1787,"Vehicles and their parts",178708,"Vehicle Parts",6069149954
"eu","Europe","eurus","Russia","rus",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",74437222024
"eu","Europe","eusmr","San Marino","smr",16,"Machines",1684,"Machinery and appliances",168422,"Washing and Bottling Machines",45044593
"eu","Europe","eusrb","Serbia","srb",16,"Machines",1685,"Electrical machinery and equipment",168544,"Insulated Wire",1423293287
"eu","Europe","eusvk","Slovakia","svk",17,"Transportation",1787,"Vehicles and their parts",178703,"Cars",24776735183
"eu","Europe","eusvn","Slovenia","svn",6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",6106045979
"eu","Europe","euswe","Sweden","swe",17,"Transportation",1787,"Vehicles and their parts",178703,"Cars",11062651445
"eu","Europe","euukr","Ukraine","ukr",3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",31512,"Seed Oils",5324219522
"na","North America","naabw","Aruba","abw",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",72783254
"na","North America","naaia","Anguilla","aia",6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",15086155
"na","North America","naatg","Antigua and Barbuda","atg",17,"Transportation",1789,"Ships, boats and floating structures",178901,"Passenger and Cargo Ships",97938537.00000001
"na","North America","nabes","Bonaire","bes",5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",52501,"Salt",3908298
"na","North America","nabhs","Bahamas","bhs",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",338994112
"na","North America","nablm","Saint Barthélemy","blm",6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",869078
"na","North America","nablz","Belize","blz",17,"Transportation",1789,"Ships, boats and floating structures",178903,"Recreational Boats",101457326.00000001
"na","North America","nabmu","Bermuda","bmu",17,"Transportation",1789,"Ships, boats and floating structures",178903,"Recreational Boats",200128563.99999997
"na","North America","nabrb","Barbados","brb",4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",48661688
"na","North America","nacan","Canada","can",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",47176448406
"na","North America","nacri","Costa Rica","cri",18,"Instruments",1890,"Instruments and apparatus",189018,"Medical Instruments",3270583565
"na","North America","nacub","Cuba","cub",4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",266512256
"na","North America","nacuw","Curaçao","cuw",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",49935794
"na","North America","nacym","Cayman Islands","cym",17,"Transportation",1789,"Ships, boats and floating structures",178903,"Recreational Boats",1822436588
"na","North America","nadma","Dominica","dma",18,"Instruments",1890,"Instruments and apparatus",189018,"Medical Instruments",5564519
"na","North America","nadom","Dominican Republic","dom",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147108,"Gold",1770268666
"na","North America","nagrd","Grenada","grd",2,"Vegetable Products",209,"Coffee, tea, mate and spices",20908,"Nutmeg, mace and cardamons",6116800
"na","North America","nagrl","Greenland","grl",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",480297566
"na","North America","nagtm","Guatemala","gtm",2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,"Bananas",1155011121
"na","North America","nahnd","Honduras","hnd",11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116109,"Knit T-shirts",1044824582
"na","North America","nahti","Haiti","hti",11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116109,"Knit T-shirts",372966268
"na","North America","najam","Jamaica","jam",6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",62818,"Aluminium Oxide",496237065
"na","North America","nakna","Saint Kitts and Nevis","kna",16,"Machines",1685,"Electrical machinery and equipment",168536,"Low-voltage Protection Equipment",15918576.000000002
"na","North America","nalca","Saint Lucia","lca",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",6287039
"na","North America","namaf","Saint Martin","maf",15,"Metals",1572,"Iron and steel",157204,"Scrap Iron",1538824.0000000002
"na","North America","namex","Mexico","mex",17,"Transportation",1787,"Vehicles and their parts",178703,"Cars",41632018074
